name,email,mobile_country_code,mobile
Ahmed Al Mansoori,ahmed.mansoori@example.ae,+971,501234567
Fatima Al Suwaidi,fatima.suwaidi@example.ae,+971,502345678
Mohammed Al Falasi,mohammed.falasi@example.ae,+971,503456789
Aisha Al Nuaimi,aisha.nuaimi@example.ae,+971,504567890
Khalid Al Marri,khalid.marri@example.ae,+971,505678901
Latifa Al Mazrouei,latifa.mazrouei@example.ae,+971,506789012
Saeed Al Shamsi,saeed.shamsi@example.ae,+971,507890123
Maryam Al Qubaisi,maryam.qubaisi@example.ae,+971,508901234
Hamad Al Rashedi,hamad.rashedi@example.ae,+971,509012345
Salma Al Ketbi,salma.ketbi@example.ae,+971,550123456
